"filename", "language", "JSON with Comments", "TypeScript", "JSON", "MS SQL", "Markdown", "YAML", "JavaScript", "comment", "blank", "total"
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\constants\study-type.enum.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 2, 2, 8
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\cotizaciones.controller.ts", "TypeScript", 0, 136, 0, 0, 0, 0, 0, 0, 28, 164
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\cotizaciones.module.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\cotizaciones.service.ts", "TypeScript", 0, 518, 0, 0, 0, 0, 0, 33, 77, 628
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\dto\cotizacion-item.dto.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\dto\create-cotizacion.dto.ts", "TypeScript", 0, 138, 0, 0, 0, 0, 0, 13, 25, 176
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\dto\update-cotizacion-status.dto.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 1, 2, 15
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\dto\update-cotizacion.dto.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 9, 2, 14
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\engine\casa-por-casa\amss.engine.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\engine\casa-por-casa\nacional.engine.ts", "TypeScript", 0, 537, 0, 0, 0, 0, 0, 274, 117, 928
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\engine\casa-por-casa\unimer.engine.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\engine\casa-por-casa\urbano.engine.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\engine\telefonico\telefonico.engine.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\projects\dto\create-project.dto.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 1, 4, 30
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\projects\dto\project-summary.dto.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 1, 1, 26
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\projects\dto\update-project.dto.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\projects\projects.controller.ts", "TypeScript", 0, 83, 0, 0, 0, 0, 0, 1, 9, 93
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\projects\projects.module.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
